,metric,similarity_func,similarity_cor,relatedness_cor,model_name,missed_words,unique_missed_words
0,scikit.pearsonr,LeacockChodorow,0.5807076908872851,0.4229204919274193,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
0,scikit.spearmanr,LeacockChodorow,0.5682003365487287,0.43121965207851803,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
0,scikit.pearsonr,WuPalmer,0.18689863470060103,0.07381707753127531,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
0,scikit.spearmanr,WuPalmer,0.18865556771397302,0.06751570551585566,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
